Date,Source,Headline,Polarity,Sentiment
2026-07-27T10:49:08Z,The Times of India,"BEL Q1 Results: Net profit rises 9% YoY to Rs 1,054 crore; revenue jumps 25%",0.0,Neutral
2026-07-27T10:49:07Z,Financial Post,Vireo Growth Inc. to Acquire Planet 13 Holdings Inc.,0.0,Neutral
2026-07-27T10:48:25Z,Crypto Briefing,Vanguard Group boosts Strategy holdings by $50M to nearly $1B,0.1,Positive
2026-07-27T10:48:00Z,GlobeNewswire,Novo Nordisk A/S - share repurchase programme,0.0,Neutral
2026-07-27T10:47:46Z,24/7 Wall St.,"After Losing 40% Of His Net Worth In A Month, Elon Musk Attempts To Raise $4 Billion For Another Company",0.15,Positive
2026-07-27T10:47:12Z,Advfn.com,Forte Biosciences shares jump after $2.2 billion takeover agreement with argenx,0.0,Neutral
2026-07-27T10:46:32Z,Antaranews.com,"Danantara Housing to market unsold SOE properties, Roeslani says",0.0,Neutral
2026-07-27T10:46:13Z,Advfn.com,Argenx agrees $2.2 billion acquisition of Forte Biosciences to strengthen autoimmune drug pipeline,0.0,Neutral
2026-07-27T10:45:31Z,Financial Post,Nvidia’s $750 Billion Deals Revive Fear of AI Circular Financing,0.0,Neutral
2026-07-27T10:45:00Z,GlobeNewswire,Vireo Growth Inc. to Acquire Planet 13 Holdings Inc.,0.0,Neutral
2026-07-27T10:45:00Z,PRNewswire,PRCT INVESTOR ALERT: Robbins Geller Rudman & Dowd LLP Files Class Action Lawsuit Against PROCEPT BioRobotics Corporation and Announces Opportunity for Investors with Substantial Losses to Lead the Procept Class Action Lawsuit,0.1,Positive
2026-07-27T10:45:00Z,GlobeNewswire,SPX Announces Appointment of New Board Member,0.13636363636363635,Positive
2026-07-27T10:45:00Z,GlobeNewswire,Vireo Growth Inc. to Acquire Planet 13 Holdings Inc.,0.0,Neutral
2026-07-27T10:44:19Z,9to5Toys,All Apple AirPods Max 2 colors currently still $100 off at Amazon,0.0,Neutral
2026-07-27T10:44:19Z,The Next Web,Nadella won’t call it a bubble. He’ll only say how it ends badly.,-0.3499999999999999,Negative
2026-07-27T10:40:15Z,Yahoo Entertainment,China chip champ,0.0,Neutral
2026-07-27T10:38:00Z,GlobeNewswire,$CCOI Lawsuit Notice: BFA Law Reminds Cogent Communications Investors of September 21 Lead Plaintiff Deadline After 80% Stock Drop Triggers Securities Fraud Class Action,0.1,Positive
2026-07-27T10:37:06Z,Yahoo Entertainment,Shein will struggle to justify $40-50 billion Hong Kong IPO valuation,0.0,Neutral
2026-07-27T10:36:31Z,Biztoc.com,SpaceX Stock Is Down 49% — Elon Musk Says That’s Exactly What Investors Should Expect,0.04722222222222222,Positive
2026-07-27T10:36:00Z,GlobeNewswire,$EQPT Lawsuit Notice: BFA Law Reminds EquipmentShare Investors of September 21 Lead Plaintiff Deadline After 17% Stock Drop Triggers Securities Fraud Class Action,0.1,Positive
2026-07-27T10:35:43Z,Advfn.com,Brown-Forman board dismisses unsolicited takeover proposal from Sazerac,0.0,Neutral
2026-07-27T10:33:29Z,Pypi.org,odoo-addon-stock-vertical-lift 18.0.1.4.1,0.0,Neutral
2026-07-27T10:32:35Z,The Times of India,"US President Trump's economy at 18 months is a tale of shocks, resilience, and signs of stalled progress",0.0,Neutral
2026-07-27T10:32:25Z,Slashdot.org,"What to Expect in Markets This Week: Amazon, Apple, Meta and Microsoft Earnings; Fed Interest Rate Decision - Investopedia",0.0,Neutral
2026-07-27T10:30:48Z,Commercial Observer,Rise of the Data Center ‘Wildcatters’,-0.1,Negative
2026-07-27T10:30:39Z,USA Today,Texas A&M among three teams Josh Pate is 'buying stock in' this season,0.0,Neutral
2026-07-27T10:30:00Z,PRNewswire,City of Munich selects CGI to advance digital government services and technological sovereignty,0.0,Neutral
2026-07-27T10:29:00Z,Creative Boom,How Yurie left a fashion design career to draw fashion-loving women in coloured pencil,0.0,Neutral
2026-07-27T10:28:45Z,Newser,Wall Street Is Pretty Happy With the Weekend in Iran,0.525,Positive
2026-07-27T10:25:03Z,24/7 Wall St.,SpaceX Stock Is Down 49% — Elon Musk Says That’s Exactly What Investors Should Expect,0.04722222222222222,Positive
2026-07-27T10:23:43Z,Biztoc.com,Prediction: This Quantum Computing Stock Is Going to Plummet After Aug. 6,0.0,Neutral
2026-07-27T10:23:41Z,Biztoc.com,I Predicted Netflix Would Soar After July 16. The Stock Is Down 6% Instead. Here's Whether I'm Still a Buyer,-0.15555555555555556,Negative
2026-07-27T10:23:22Z,Biztoc.com,"U.S. markets eye earnings season as Middle East tensions ease: Dow Jones, S&P, Nasdaq, Wall Street Futures",0.0,Neutral
2026-07-27T10:22:28Z,Yoast.com,How long does it really take to build a website with AI?,0.07500000000000001,Positive
2026-07-27T10:21:38Z,Biztoc.com,Big Tech Earnings and Fed Rate Decision Put Stock Rally to the Test,0.0,Neutral
2026-07-27T10:20:05Z,CNA,"Customer data from India's Bank of Baroda leaked online, source and researcher say",0.0,Neutral
2026-07-27T10:20:05Z,Yahoo Entertainment,"Customer data from India's Bank of Baroda leaked online, source and researcher say",0.0,Neutral
2026-07-27T10:20:05Z,Yahoo Entertainment,"Customer data from India's Bank of Baroda leaked online, source and researcher say",0.0,Neutral
2026-07-27T10:17:03Z,Yahoo Entertainment,"CVS Health Corporation (CVS) stock price, news, quote and history - Yahoo Finance",0.0,Neutral
2026-07-27T10:15:05Z,Khabarhub.com,NEPSE drops 33 points despite turnover exceeding Rs 6.7 billion,0.0,Neutral
2026-07-27T10:12:52Z,The Times of India,"Quote of the day by India’s bard Rabindranath Tagore: ‘The butterfly counts not months but moments, and has time enough’; life lessons on being mindful and appreciating small joys in life from Nobel Prize-winning poet",-0.125,Negative
2026-07-27T10:12:28Z,Slashdot.org,"Global stocks climb, oil slides after pause in Middle East fighting - Reuters",0.0,Neutral
2026-07-27T10:11:30Z,Crypto Briefing,Shein founder Sky Xu faces scrutiny ahead of Hong Kong listing,0.0,Neutral
2026-07-27T10:10:00Z,PRNewswire,"Ascletis Announces Once-Monthly Subcutaneously Administered GLP-1R/GIPR/GCGR Triple Peptide Agonist, ASC37, Demonstrated Superior Weight Loss in a Diet-Induced Obese Mouse Model",0.7,Positive
2026-07-27T10:08:54Z,Pypi.org,chatlint added to PyPI,0.0,Neutral
2026-07-27T10:08:52Z,Biztoc.com,"Cathie Wood's Ark Bought $21.3 Million of SpaceX Stock as Shares Fell 45% From Their Record High. Wall Street's Median Price Target Is $243.81, 111.5% Above the Current Close",0.05333333333333334,Positive
2026-07-27T10:07:08Z,USA Today,Titans' Xavier Restrepo self-reports massively improved 40 time,0.0,Neutral
2026-07-27T10:06:52Z,Biztoc.com,Big Short trader Michael Burry’s rising bearish AI positions test China’s stock support,0.0,Neutral
2026-07-27T10:05:09Z,Dailymail.com,Land Rover Discovery Sport axed at the end of 2026,0.0,Neutral
2026-07-27T10:04:00Z,GlobeNewswire,The Ensign Group Reports Second Quarter 2026 Results,0.0,Neutral
2026-07-27T10:03:33Z,Financial Post,Rocket Lab Awarded Record $266M Missile Defense Contract with U.S. Space Force for Suborbital Launches,0.0,Neutral
2026-07-27T10:03:25Z,Financial Post,Asante Gold Announces Management Change,0.0,Neutral
2026-07-27T10:01:37Z,24/7 Wall St.,"Cybertruck Called the Biggest Flop in Automotive History, as Tesla Shares Plummet",0.0,Neutral
2026-07-27T10:01:00Z,GlobeNewswire,Total Voting Rights and Transaction in Own Shares,0.3,Positive
2026-07-27T10:00:52Z,Sheaffertoldmeto.com,Dress Round Up and Nutrafol Code,-0.2,Negative
2026-07-27T10:00:25Z,Financial Post,The market’s biggest risk isn’t AI or tariffs. It’s something stock investors may overlook,0.0,Neutral
2026-07-27T10:00:03Z,Medical Daily,Heat Index Hits 116 in Missouri and Kansas as Extreme Heat Warnings Run Through Tuesday Morning,-0.125,Negative
2026-07-27T10:00:00Z,New York Post,Why Kevin Warsh should think twice about hiking interest rates — even as anxiety over the Iran war grows,0.0,Neutral
2026-07-27T10:00:00Z,New York Post,"Yes, Mamdani just made a business-basher his NYC ‘economic development’ czar",0.2,Positive
2026-07-27T10:00:00Z,GlobeNewswire,Asante Gold Announces Management Change,0.0,Neutral
2026-07-27T10:00:00Z,Yahoo Entertainment,"Best high-yield savings interest rates today, Monday, July 27, 2026: You can earn up to 4.15% APY",1.0,Positive
2026-07-27T10:00:00Z,Yahoo Entertainment,"Best high-yield savings interest rates today, Tuesday, July 28, 2026: You can earn up to 4.15% APY",1.0,Positive
2026-07-27T09:55:01Z,Business Insider,Big Tech's next round of layoffs could start with volunteers,-0.06666666666666667,Negative
2026-07-27T09:53:26Z,Advfn.com,"U.S. markets eye earnings season as Middle East tensions ease: Dow Jones, S&P, Nasdaq, Wall Street Futures",0.0,Neutral
2026-07-27T09:52:44Z,Biztoc.com,"Ranking the ""Magnificent Seven"" From Most to Least Attractive, Based on Future Cash Flow",0.4,Positive
2026-07-27T09:52:39Z,Slashdot.org,"Oil slides as Trump pauses Iran strikes, easing supply fears (CL1:COM:Commodity) - Seeking Alpha",0.0,Neutral
2026-07-27T09:52:35Z,Fortune,Stocks rise globally on hopes of peace talks with Iran—but the Fed may deliver a shock on Wednesday,0.0,Neutral
2026-07-27T09:52:29Z,Biztoc.com,Why Cleveland-Cliffs Stock Jumped Despite Its Latest Quarterly Loss,0.5,Positive
2026-07-27T09:52:27Z,Biztoc.com,"Booz Allen Soared On A Beat, Not A Boom",0.0,Neutral
2026-07-27T09:52:26Z,Biztoc.com,"Intel More Than Quadrupled In A Year, So Why Has It Cooled",0.5,Positive
2026-07-27T09:52:19Z,NBC News,Oil prices slide as U.S. and Iran pause strikes to give ‘space’ for diplomacy,0.0,Neutral
2026-07-27T09:52:19Z,Pypi.org,odoo-addon-stock-picking-reservation-policy added to PyPI,0.0,Neutral
2026-07-27T09:52:19Z,Pypi.org,odoo-addon-stock-picking-reservation-policy 19.0.1.0.0.2,0.0,Neutral
2026-07-27T09:52:17Z,Pypi.org,odoo-addon-sale-stock-picking-reservation-policy 19.0.1.0.0.2,0.0,Neutral
